Species,Number
thiorhodovibrio winogradskyi,7
acidimicrobium spp.,0
tenacibaculum discolor,6
luteibacter rhizovicinus,5
marichromatium bheemlicum,3
thiocapsa spp.,0
desulfovermiculus spp.,1
rubellimicrobium spp.,4
desulfitibacter spp.,1
candidatus_planktophila spp.,6
bradyrhizobium spp.,3
desulfuromonas thiophila,0
proteobacteria,2
prosthecobacter spp.,1
candidatus_liberibacter spp.,1
marinimicrobium koreense,3
capnocytophaga gingivalis,0
paracoccus marcusii,31
sagittula spp.,0
sediminicola luteus,1
simiduia agarivorans,1
thiorhodococcus drewsii,10
nitrosomonas marina,1
pseudochrobactrum spp.,10
haliangium ochraceum,0
maritimibacter spp.,0
gallionella spp.,1
aquimarina spp.,2
hydrotalea spp.,5
lewinella persicus,0
rickettsia spp.,0
dehalogenimonas alkenigignens,6
sphingomonas wittichii,3
methylomonas spp.,2
sorangium cellulosum,1
sediminibacter furfurosus,3
oceaniserpentilla spp.,8
bacillus flexus,5
magnetospirillum sp.,2
chondromyces pediculatus,1
jannaschia spp.,1
methylococcus capsulatus,4
cosmarium botrytis,6
sphingobacterium spp.,26
antarctobacter heliothermus,3
pedinomonas minor,5
flexithrix sphingobacteriales bacterium,3
alteromonas macleodii,2
candidatus_solibacter spp.,10
euzebya tangerina,0
reinekea spp.,4
zymomonas spp.,0
geitlerinema spp.,2
pelobacter carbinolicus,0
haloplasma spp.,1
aquabacterium spp.,3
polyangium spumosum,4
coleochaete orbicularis,7
polaribacter dokdonensis,0
hirschia spp.,2
planctomyces maris,9
coccinistipes vermicola,11
robiginitomaculum spp.,8
candidatus rhodoluna lacicola,1
kineosporia spp.,5
saprospira spp.,0
thioalkalivibrio denitrificans,0
syntrophus sp.,2
dehalogenimonas lykanthroporepellens,2
candidatus haliscomenobacter calcifugiens,0
erythrobacter spp.,5
bacillus baekryungensis,9
coprococcus spp.,1
limnohabitans curvus,6
streptomyces spp.,2
paracoccus denitrificans,2
congregibacter litoralis,13
desulfatiferula spp.,1
marmoricola spp.,0
halothiobacillus kellyi,0
geobacillus spp.,0
nonlabens persicivirga xylanidelens,1
thiomicrospira frisia,45
pseudoalteromonas viridis,19
phaeobacter gallaeciensis,1
rhodanobacter terrae,1
roseiflexus spp.,7
terrimonas spp.,1
brumimicrobium mesophilum,0
pseudoalteromonas elyakovii,9
desulfomonile spp.,13
frigoribacterium spp.,3
yeosuana aromativorans,0
afifella spp.,6
altererythrobacter aestuarii,5
colwellia psychrerythraea,0
aestuariibacter spp.,4
candidatus_nitrotoga spp.,1
jannaschia helgolandensis,45
desulfotalea psychrophila,0
deferribacter spp.,5
aequorivita antarctica,6
alcanivorax spp.,8
mesorhizobium loti,14
celeribacter neptunius,0
fibrisoma spp.,4
inquilinus spp.,3
lutibacter maritimus,43
desmarestia viridis,1
zb3 (candidate division)  zb3 (candidate division),0
marinilabilia spp.,7
frankia spp.,6
turneriella spp.,0
variovorax spp.,8
teredinibacter turnerae,11
loktanella vestfoldensis,36
siphonobacter spp.,5
marivirga tractuosa,0
algibacter lectus,6
roseibacterium elongatum,14
amphritea spp.,0
marinobacterium spp.,5
nc10 (candidate division)  nc10 (candidate division),3
ilumatobacter spp.,7
spirochaeta halophila,51
arcobacter nitrofigilis,3
enhygromyxa spp.,6
litoreibacter spp.,5
ornithinimicrobium spp.,0
bizionia spp.,2
desulfovibrio capillatus,1
bacillus spp.,5
octadecabacter antarcticus,1
gramella marina,3
polynucleobacter cosmopolitanus,6
porphyrobacter tepidarius,4
candidatus_planktoluna spp.,4
afifella marina,0
roseivirga ehrenbergii,7
veillonella parvula,14
candidatus_magnetoglobus spp.,6
vulcanibacillus modesticaldus,14
aquicella spp.,3
kineococcus radiotolerans,4
maribius spp.,11
leptothrix spp.,6
zooshikella ganghwensis,14
alteromonas marina,8
hyphomicrobium spp.,7
alkalilimnicola ehrlichii,6
acanthopleuribacter pedis,7
tateyamaria spp.,14
coenonia anatina,1
flavobacterium gelidilacus,5
sideroxydans spp.,3
congregibacter spp.,11
elizabethkingia meningoseptica,19
quadrisphaera spp.,0
cellvibrio spp.,11
gramella spp.,25
gaetbulibacter saemankumensis,1
chelatococcus spp.,6
maribacter aquivivus,7
gramella echinicola,17
paracoccus zeaxanthinifaciens,15
desulforhopalus singaporensis,20
roseomonas spp.,9
veillonella spp.,8
rhodobaca bogoriensis,0
sporichthya spp.,5
microvirga subterranea,1
labrenzia aggregata,13
flagellimonas spp.,0
phyllobacterium myrsinacearum,31
gaetbulibacter marinus,3
thiococcus pfennigii,3
labrenzia spp.,13
albimonas spp.,6
winogradskyella thalassocola,9
bosea spp.,3
flavobacterium succinicans,26
desulfobacter spp.,23
alkaliflexus spp.,23
endozoicomonas spp.,9
sulfitobacter delicatus,5
blastomonas natatoria,4
psychroflexus spp.,0
skermanella spp.,6
leeuwenhoekiella marinoflava,2
sphaerobacter thermophilus,2
flavobacterium columnare,1
rhodovulum euryhalinum,0
salinimicrobium spp.,13
porphyrobacter spp.,17
zhouia amylolytica,27
aureispira spp.,3
spirulina spp.,0
hoeflea alexandrii,13
rhodomicrobium spp.,20
pilimelia spp.,3
thiomicrospira spp.,2
flavobacterium denitrificans,41
methylotenera freshwater sediment,18
salinimonas spp.,1
desulfuromonas svalbardensis,17
candidatus_scalindua spp.,1
blastomonas spp.,3
schumannella spp.,7
sediminibacterium spp.,7
tistrella spp.,5
muricauda aquimarina,29
candidatus_amoebophilus spp.,15
rhodovibrio spp.,8
dongia spp.,8
scherffelia dubia,7
rhodanobacter lindaniclasticus,3
rhodovulum marinum,33
sbr1093 (candidate division)  sbr1093 (candidate division),16
albidiferax spp.,30
desulfobacterium indolicum,17
micrococcales spp.,0
nisaea spp.,11
porticoccus spp.,8
loktanella salsilacus,8
lamprocystis spp.,1
op11 (candidate division)  op11 (candidate division),7
acetivibrio spp.,17
thermolithobacter ferrireducens,1
bellilinea spp.,11
aminobacter spp.,12
simiduia spp.,6
algoriphagus hongiella hitoincola,8
sulfitobacter japonica,9
shewanella colwelliana,9
microbulbifer hydrolyticus,7
marinobacter alkaliphilus,18
filomicrobium fusiforme,9
azoarcus spp.,0
bizionia argentinensis,15
achromobacter spp.,23
clostridium spp.,8
gilvibacter spp.,4
lewinella nigricans,9
steroidobacter spp.,2
acidiphilium spp.,10
fibrobacter succinogenes,2
catellibacterium spp.,1
acidobacterium spp.,1
bacteriovorax marinus,0
shewanella benthica,5
hyphomonas jannaschiana,10
erythrobacter piscidermidis,5
neptunomonas spp.,5
marichromatium gracile,0
rhodopirellula baltica,9
olleya spp.,5
psychromonas ingrahamii,29
oceanicaulis spp.,19
candidatus_endobugula spp.,5
syntrophus spp.,22
candidatus_thiobios endosymbiont of_unidentified_scaly_snail,43
cyanospira rippkae,10
bacteriovorax spp.,8
thalassobius spp.,11
balneola alkaliphila,8
salinibacter spp.,1
coraliomargarita spp.,3
malonomas spp.,4
euzebya spp.,5
limnothrix redekei,4
roseibacillus spp.,0
rubrobacter xylanophilus,3
marinovum spp.,6
erythrobacter citreus,16
acinetobacter spp.,39
lysinibacillus bacillus massiliensis,24
methylocaldum spp.,14
lysinibacillus spp.,4
candidatus_brocadia spp.,7
lutibacterium anuloederans,26
shinella spp.,25
thioclava spp.,116
op9 (candidate division)  op9 (candidate division),3
rhodoplanes elegans,5
thiohalocapsa spp.,21
glaciecola spp.,45
gemmatimonas spp.,19
lewinella marina,2
robiginitalea myxolifaciens,1
rubribacterium spp.,14
microbulbifer spp.,16
gammaproteobacteria thiobacillus prosperus,20
iamia spp.,4
limnohabitans spp.,13
dokdonia krokinobacter genikus,4
erythromicrobium ramosum,2
roseicyclus spp.,8
marinomonas sanya,1
tm6 (candidate division)  tm6 (candidate division),7
gilvimarinus marine metagenome,34
gn06 (candidate division)  gn06 (candidate division),17
thiorhodospira spp.,27
fabibacter spp.,4
yeosuana yeosuensis,3
flavobacteriales bacterium,1
nitrobacter spp.,15
cellulophaga spp.,5
thalassococcus spp.,17
candidatus_entotheonella spp.,5
calothrix spp.,10
geopsychrobacter electrodiphilus,2
pseudoalteromonas marina,37
nannocystis spp.,7
desulfurivibrio spp.,29
thermodesulfovibrio spp.,15
paracoccus alcaliphilus,1
ilumatobacter fluminis,8
spam (candidate division)  spam (candidate division),16
owenweeksia hongkongensis,25
coleofasciculus microcoleus chthonoplastes,1
anaerophaga spp.,43
ferruginibacter spp.,18
zeaxanthinibacter enoshimensis,1
subsaxibacter spp.,21
oleiphilus spp.,22
salinisphaera spp.,0
nocardioides spp.,5
desulfonema spp.,1
croceibacter atlanticus,49
paracoccus spp.,48
sphingopyxis witflariensis,1
candidatus_aquiluna spp.,10
haematobacter massiliensis,10
massilia spp.,24
zhouia spp.,31
jannaschia donghaensis,5
meridianimaribacter spp.,6
burkholderia fungorum,16
tamlana crocina,9
kordiimonas spp.,34
sulfitobacter spp.,18
candidatus_cloacamonas spp.,28
reinekea blandensis,24
pelagicoccus spp.,7
tetracoccus cechii,27
bdellovibrio spp.,16
dokdonella spp.,79
tepidamorphus spp.,16
opitutus spp.,12
spirochaeta isovalerica,92
pseudolabrys spp.,4
geoalkalibacter spp.,5
coccinimonas marina,24
sphingopyxis spp.,4
desulfovibrio spp.,10
segetibacter spp.,0
truepera spp.,8
altererythrobacter spp.,18
smithella spp.,12
rhodoplanes spp.,4
polynucleobacter spp.,21
solirubrobacter spp.,15
caloramator spp.,22
nodosilinea leptolyngbya rozosum,3
phaselicystis spp.,17
parvibaculum spp.,15
desulfobacula spp.,32
saccharophagus degradans,14
flaviramulus spp.,6
gemmata spp.,7
prochlorococcus marinus,6
dasania spp.,44
dinoroseobacter spp.,9
ectothiorhodospira shaposhnikovii,12
thalassospira xiamenensis,30
sediminitalea flava,2
lentisphaera spp.,6
costertonia aggregata,1
ekhidna spp.,4
candidatus pelagibacter ubique,13
fibrobacter spp.,11
kangiella koreensis,97
marinosulfonomonas spp.,32
teredinibacter spp.,55
brc1 (candidate division)  brc1 (candidate division),31
arthrobacter spp.,20
levilinea spp.,80
mesorhizobium spp.,48
labrys spp.,12
nkb19 (candidate division)  nkb19 (candidate division),41
nitrosomonas spp.,18
amaricoccus spp.,12
marinoscillum furvescens,14
ulvibacter antarcticus,0
anabaena cylindrica,4
thermomonas spp.,9
galbibacter spp.,49
croceitalea spp.,71
pelobacter spp.,14
thiothrix spp.,49
roseobacter spp.,31
cerasicoccus spp.,22
kribbella spp.,19
muriicola muricola jejuensis,24
ahrensia spp.,25
nitriliruptor spp.,0
ruegeria spp.,13
leptolyngbya frigida,2
muricauda spp.,69
tamlana spp.,42
dehalococcoides mccartyi,14
aquimarina brevivitae,14
melitea spp.,30
dehalococcoides ethenogenes,34
ralstonia pickettii,32
marivita gaetbulicola byunsanensis,57
pelagicoccus albus,45
dermatophilus spp.,22
persicobacter spp.,22
paracoccus marinus,19
maribacter sedimenticola,24
psychroserpens spp.,23
alterococcus spp.,15
synechococcus elongatus,13
salisaeta longa,7
devosia spp.,36
desulfosalsimonas spp.,56
patulibacter spp.,4
formosa spp.,110
tm7 (candidate division)  tm7 (candidate division),13
filomicrobium spp.,65
thiohalomonas denitrificans,0
loktanella hongkongensis,2
geothermobacter spp.,23
lentimonas spp.,37
peredibacter spp.,41
sphingomonas spp.,18
geobacter spp.,51
anaerolinea spp.,65
desulfuromusa spp.,45
leeuwenhoekiella spp.,86
coxiella spp.,27
tg3 (candidate division)  tg3 (candidate division),51
thioalkalispira spp.,76
nitrospina spp.,6
marixanthomonas spp.,0
pedomicrobium spp.,48
polaribacter spp.,22
flavobacterium spp.,50
rubrobacter spp.,24
loktanella spp.,83
tropicimonas spp.,136
rhizobiales spp.,28
pelagibius spp.,48
wenxinia marina,6
desulfofustis spp.,29
thalassospira spp.,36
paludibacter spp.,191
sediminimonas spp.,40
rhodovulum spp.,135
pleurocapsa sp.,13
gn02 (candidate division)  gn02 (candidate division),53
maribacter orientalis,153
salinibacter ruber,7
beggiatoa spp.,86
novosphingobium spp.,26
leisingera spp.,31
et_sho methylococcaceae bacterium,474
fluviicola spp.,60
oceanicola spp.,15
marinoscillum spp.,118
acanthopleuribacter spp.,54
victivallis spp.,65
op8 (candidate division)  op8 (candidate division),80
roseicyclus mahoneyensis,52
aequorivita spp.,223
thiomicrospira chilensis,0
sneathiella spp.,160
anderseniella spp.,46
nitratireductor spp.,120
crocinitomix spp.,68
desulfatirhabdium spp.,92
halochromatium spp.,307
simplicispira spp.,87
candidatus_alysiosphaera spp.,18
nitrospira marina,89
maribacter goseongensis,112
fulvivirga spp.,34
chroococcidiopsis spp.,28
formosa crassostrea,83
maribacter spp.,294
sediminibacter spp.,69
kriegella aquimaris,18
desulforhopalus spp.,103
desulfobacterium spp.,131
cystobacterineae spp.,48
hormoscilla oscillatoria spongeliae,4
loktanella marincola,143
hgci_clade spp.,98
pseudoruegeria spp.,175
meniscus spp.,218
cryomorpha spp.,161
erythrobacter aquimaris,26
thiobacillus spp.,40
mariprofundus ferrooxydans,15
robiginitalea biformata,16
desulfobacterium anilini,203
tropicimonas marine metagenome,14
azospira spp.,57
op3 (candidate division)  op3 (candidate division),97
tenacibaculum spp.,142
aestuariicola spp.,22
marinifilum spp.,244
leptospirillum spp.,44
lutibacter spp.,141
pirellula spp.,113
flexithrix spp.,83
sorangium spp.,83
rhodobium spp.,93
lewinella cohaerens,53
candidatus_microthrix spp.,59
ulvibacter spp.,47
roseovarius spp.,70
zeaxanthinibacter spp.,65
methylosinus spp.,270
gaetbulibacter spp.,73
arcobacter spp.,827
escherichia_shigella spp.,190
caldilinea spp.,59
phycisphaera spp.,109
haliangium spp.,115
desulfopila spp.,701
maritimimonas spp.,236
actibacter spp.,33
crenothrix spp.,95
flexibacter spp.,123
rhodothermus marinus,29
parvularcula spp.,73
kangiella spp.,77
flexithrix dorotheae,248
pseudomonas spp.,73
muricola spp.,4
planktothricoides raciborskii,5
pleurocapsa spp.,42
leptolinea spp.,303
coprothermobacter spp.,186
hymenobacter spp.,379
rhizobium spp.,178
lewinella spp.,141
desulfococcus spp.,622
colwellia spp.,128
pseudospirillum spp.,167
nitrospira spp.,182
rhodobacter spp.,285
planctomyces spp.,106
wenxinia spp.,123
desulfocapsa spp.,599
acidimicrobiales spp.,127
gn04 (candidate division)  gn04 (candidate division),459
sorangiineae spp.,180
winogradskyella spp.,128
cycloclasticus spp.,60
reichenbachiella spp.,362
candidatus_chloracidobacterium spp.,28
nitrosococcus spp.,246
desulfuromonas spp.,440
mitochondria spp.,111
blastopirellula spp.,206
haliea spp.,1215
sulfurovum spp.,127
robiginitalea spp.,676
ksb1 (candidate division)  ksb1 (candidate division),733
leucothrix spp.,484
ws3 (candidate division)  ws3 (candidate division),613
eudoraea spp.,10
longilinea spp.,950
sulfurimonas spp.,2163
acidovorax spp.,494
sufflavibacter spp.,449
desulfobulbus spp.,920
spirochaeta spp.,1161
ignavibacterium spp.,678
granulosicoccus spp.,607
owenweeksia spp.,765
candidatus_thiobios spp.,1039
acidithiobacillus spp.,772
defluviicoccus spp.,628
desulfosarcina spp.,1762
rhodopirellula spp.,781
balneatrix spp.,761
nannocystineae spp.,1609
