Species,Unique,Number
thioploca ingrica,920,0
moorella thermoacetica,921,4
gloeobacter violaceus,922,4
umboniibacter spp.,923,1
haloferula spp.,924,0
vibrio spp.,925,0
acidothermus spp.,926,3
tenacibaculum litoreum,927,1
geoalkalibacter subterraneus,928,2
devosia terrae,929,3
dysgonomonas spp.,930,0
sandarakinorhabdus spp.,931,1
leptonema illini,932,0
pseudospirillum marine metagenome,933,0
galbibacter mesophilus,934,0
tamlana agarivorans,935,0
nitratifractor spp.,936,0
pelagibaca bermudensis,937,1
ensifer adhaerens,938,2
desulfobacterium autotrophicum,939,0
paenibacillus spp.,940,4
ketogulonicigenium vulgare,941,16
beijerinckia derxii,942,2
psychrilyobacter spp.,943,0
rubritalea spp.,944,0
humicoccus spp.,945,0
perlucidibaca spp.,946,1
persicitalea jodogahamensis,947,0
owenweeksia marine metagenome,948,2
hydrogenobacter spp.,949,0
adhaeribacter spp.,950,3
rheinheimera spp.,951,1
syntrophobacter spp.,952,4
ho(lab) spp.,953,1
selenomonas spp.,954,1
marinimicrobium spp.,955,1
kribbella koreensis,956,0
acidicaldus spp.,957,0
rhodanobacter spp.,958,4
fastidiosipila spp.,959,4
erythrobacter flavus,960,0
oceanospirillum spp.,961,0
legionella spp.,962,0
leptobacterium spp.,963,5
burkholderia sp.,964,1
nautella italica,965,2
pontibacter korlensis,966,0
holospora spp.,967,5
martelella mediterranea,968,2
thiomicrospira crunogena,969,0
afipia broomeae,970,2
pseudomonas alcaligenes,971,0
bellilinea caldifistulae,972,0
novosphingobium hassiacum,973,4
msbl6 (candidate division)  msbl6 (candidate division),974,1
vibrio orientalis,975,1
alcanivorax indicus,976,9
candidatus_desulforudis spp.,977,2
novispirillum spp.,978,8
thiorhodococcus mannitoliphagus,979,21
desulfobacca spp.,980,2
pseudoalteromonas spp.,981,4
cobetia marina,982,0
dehalobacter spp.,983,0
kistimonas spp.,984,0
bacteroides spp.,985,0
demequina spp.,986,1
arthrospira platensis,987,5
allochromatium vinosum,988,0
candidatus_rhodoluna spp.,989,1
vibrio harveyi,990,5
salinihabitans spp.,991,0
agrobacterium tumefaciens,992,6
roseococcus spp.,993,0
spirosoma spp.,994,5
desulfonatronum thiosulfatophilum,995,0
levilinea saccharolytica,996,2
rivularia spp.,997,2
alphaproteobacteria magnetic proteobacterium,998,0
devosia limi,999,1
desulfovibrio profundus,1000,7
fusobacterium spp.,1001,0
cohaesibacter spp.,1002,2
flavobacterium marine metagenome,1003,0
alicyclobacillus pohliae,1004,1
mesorhizobium huakuii,1005,6
thalassobaculum spp.,1006,4
novosphingobium resinovorum,1007,1
alphaproteobacteria magnetic coccus,1008,0
silanimonas spp.,1009,10
maricaulis salignorans,1010,0
methylotenera spp.,1011,1
puniceicoccus vermicola,1012,0
flavisolibacter spp.,1013,0
geoalkalibacter desulfuromonas alkaliphilus,1014,1
halarsenatibacter spp.,1015,1
saprospira grandis,1016,3
phenylobacterium spp.,1017,2
halocella spp.,1018,0
eggerthella spp.,1019,0
alteromonas spp.,1020,1
flexibacter roseolus,1021,1
candidatus_xiphinematobacter spp.,1022,4
roseivivax spp.,1023,4
bilophila wadsworthia,1024,4
leeuwenhoekiella aequorea,1025,5
mycoplasma spp.,1026,1
candidatus neoehrlichia mikurensis,1027,0
desulfatiferula olefinivorans,1028,0
crocinitomix catalasitica,1029,2
candidatus aquirestis calciphila,1030,0
ac1 (candidate division)  ac1 (candidate division),1031,3
fodinicola spp.,1032,9
candidatus aquiluna rubra,1033,2
streptomyces thermodiastaticus,1034,13
desulfovibrio cavernae,1035,1
candidatus_hepatoplasma spp.,1036,0
oleibacter spp.,1037,0
thermacetogenium spp.,1038,1
mycobacterium spp.,1039,0
roseospira thiosulfatophila,1040,0
dichotomicrobium spp.,1041,2
devosia geojensis,1042,2
gelria spp.,1043,8
paracoccus aminophilus,1044,4
paracoccus solventivorans,1045,3
sphingomonas faeni,1046,4
marinobacter koreensis,1047,10
nitrosospira multiformis,1048,1
microcoleus vaginatus,1049,0
planktothricoides spp.,1050,3
candidatus scalindua brodae,1051,4
solimonas soli,1052,0
cellulophaga lytica,1053,1
chthoniobacter spp.,1054,5
thiomicrospira kuenenii,1055,7
aurantimonas spp.,1056,4
atopococcus spp.,1057,3
tumebacillus spp.,1058,2
lutimaribacter spp.,1059,3
donghicola spp.,1060,3
rhodovulum sulfidophilum,1061,36
haliscomenobacter spp.,1062,3
luteibacter spp.,1063,2
sphagnum rubellum,1064,3
aureimonas aurantimonas kwangyangensis,1065,22
lysinibacillus sphaericus,1066,1
marinobacter flavimaris,1067,3
hyunsoonleella spp.,1068,2
desulfarculus spp.,1069,4
plesiocystis spp.,1070,0
methylocystis spp.,1071,1
blautia spp.,1072,5
halomonas variabilis,1073,20
conexibacter spp.,1074,4
pleomorphomonas spp.,1075,7
christensenella spp.,1076,2
thiorhodovibrio winogradskyi,1077,7
acidimicrobium spp.,1078,0
tenacibaculum discolor,1079,6
luteibacter rhizovicinus,1080,5
marichromatium bheemlicum,1081,3
thiocapsa spp.,1082,0
desulfovermiculus spp.,1083,1
rubellimicrobium spp.,1084,4
desulfitibacter spp.,1085,1
candidatus_planktophila spp.,1086,6
bradyrhizobium spp.,1087,3
desulfuromonas thiophila,1088,0
proteobacteria,1089,2
prosthecobacter spp.,1090,1
candidatus_liberibacter spp.,1091,1
marinimicrobium koreense,1092,3
capnocytophaga gingivalis,1093,0
paracoccus marcusii,1094,31
sagittula spp.,1095,0
sediminicola luteus,1096,1
simiduia agarivorans,1097,1
thiorhodococcus drewsii,1098,10
nitrosomonas marina,1099,1
pseudochrobactrum spp.,1100,10
haliangium ochraceum,1101,0
maritimibacter spp.,1102,0
gallionella spp.,1103,1
aquimarina spp.,1104,2
hydrotalea spp.,1105,5
lewinella persicus,1106,0
rickettsia spp.,1107,0
dehalogenimonas alkenigignens,1108,6
sphingomonas wittichii,1109,3
methylomonas spp.,1110,2
sorangium cellulosum,1111,1
sediminibacter furfurosus,1112,3
oceaniserpentilla spp.,1113,8
bacillus flexus,1114,5
magnetospirillum sp.,1115,2
chondromyces pediculatus,1116,1
jannaschia spp.,1117,1
methylococcus capsulatus,1118,4
cosmarium botrytis,1119,6
sphingobacterium spp.,1120,26
antarctobacter heliothermus,1121,3
pedinomonas minor,1122,5
flexithrix sphingobacteriales bacterium,1123,3
alteromonas macleodii,1124,2
candidatus_solibacter spp.,1125,10
euzebya tangerina,1126,0
reinekea spp.,1127,4
zymomonas spp.,1128,0
geitlerinema spp.,1129,2
pelobacter carbinolicus,1130,0
haloplasma spp.,1131,1
aquabacterium spp.,1132,3
polyangium spumosum,1133,4
coleochaete orbicularis,1134,7
polaribacter dokdonensis,1135,0
hirschia spp.,1136,2
planctomyces maris,1137,9
coccinistipes vermicola,1138,11
robiginitomaculum spp.,1139,8
candidatus rhodoluna lacicola,1140,1
kineosporia spp.,1141,5
saprospira spp.,1142,0
thioalkalivibrio denitrificans,1143,0
syntrophus sp.,1144,2
dehalogenimonas lykanthroporepellens,1145,2
candidatus haliscomenobacter calcifugiens,1146,0
erythrobacter spp.,1147,5
bacillus baekryungensis,1148,9
coprococcus spp.,1149,1
limnohabitans curvus,1150,6
streptomyces spp.,1151,2
paracoccus denitrificans,1152,2
congregibacter litoralis,1153,13
desulfatiferula spp.,1154,1
marmoricola spp.,1155,0
halothiobacillus kellyi,1156,0
geobacillus spp.,1157,0
nonlabens persicivirga xylanidelens,1158,1
thiomicrospira frisia,1159,45
pseudoalteromonas viridis,1160,19
phaeobacter gallaeciensis,1161,1
rhodanobacter terrae,1162,1
roseiflexus spp.,1163,7
terrimonas spp.,1164,1
brumimicrobium mesophilum,1165,0
pseudoalteromonas elyakovii,1166,9
desulfomonile spp.,1167,13
frigoribacterium spp.,1168,3
yeosuana aromativorans,1169,0
afifella spp.,1170,6
altererythrobacter aestuarii,1171,5
colwellia psychrerythraea,1172,0
aestuariibacter spp.,1173,4
candidatus_nitrotoga spp.,1174,1
jannaschia helgolandensis,1175,45
desulfotalea psychrophila,1176,0
deferribacter spp.,1177,5
aequorivita antarctica,1178,6
alcanivorax spp.,1179,8
mesorhizobium loti,1180,14
celeribacter neptunius,1181,0
fibrisoma spp.,1182,4
inquilinus spp.,1183,3
lutibacter maritimus,1184,43
desmarestia viridis,1185,1
zb3 (candidate division)  zb3 (candidate division),1186,0
marinilabilia spp.,1187,7
frankia spp.,1188,6
turneriella spp.,1189,0
variovorax spp.,1190,8
teredinibacter turnerae,1191,11
loktanella vestfoldensis,1192,36
siphonobacter spp.,1193,5
marivirga tractuosa,1194,0
algibacter lectus,1195,6
roseibacterium elongatum,1196,14
amphritea spp.,1197,0
marinobacterium spp.,1198,5
nc10 (candidate division)  nc10 (candidate division),1199,3
ilumatobacter spp.,1200,7
spirochaeta halophila,1201,51
arcobacter nitrofigilis,1202,3
enhygromyxa spp.,1203,6
litoreibacter spp.,1204,5
ornithinimicrobium spp.,1205,0
bizionia spp.,1206,2
desulfovibrio capillatus,1207,1
bacillus spp.,1208,5
octadecabacter antarcticus,1209,1
gramella marina,1210,3
polynucleobacter cosmopolitanus,1211,6
porphyrobacter tepidarius,1212,4
candidatus_planktoluna spp.,1213,4
afifella marina,1214,0
roseivirga ehrenbergii,1215,7
veillonella parvula,1216,14
candidatus_magnetoglobus spp.,1217,6
vulcanibacillus modesticaldus,1218,14
aquicella spp.,1219,3
kineococcus radiotolerans,1220,4
maribius spp.,1221,11
leptothrix spp.,1222,6
zooshikella ganghwensis,1223,14
alteromonas marina,1224,8
hyphomicrobium spp.,1225,7
alkalilimnicola ehrlichii,1226,6
acanthopleuribacter pedis,1227,7
tateyamaria spp.,1228,14
coenonia anatina,1229,1
flavobacterium gelidilacus,1230,5
sideroxydans spp.,1231,3
congregibacter spp.,1232,11
elizabethkingia meningoseptica,1233,19
quadrisphaera spp.,1234,0
cellvibrio spp.,1235,11
gramella spp.,1236,25
gaetbulibacter saemankumensis,1237,1
chelatococcus spp.,1238,6
maribacter aquivivus,1239,7
gramella echinicola,1240,17
paracoccus zeaxanthinifaciens,1241,15
desulforhopalus singaporensis,1242,20
roseomonas spp.,1243,9
veillonella spp.,1244,8
rhodobaca bogoriensis,1245,0
sporichthya spp.,1246,5
microvirga subterranea,1247,1
labrenzia aggregata,1248,13
flagellimonas spp.,1249,0
phyllobacterium myrsinacearum,1250,31
gaetbulibacter marinus,1251,3
thiococcus pfennigii,1252,3
labrenzia spp.,1253,13
albimonas spp.,1254,6
winogradskyella thalassocola,1255,9
bosea spp.,1256,3
flavobacterium succinicans,1257,26
desulfobacter spp.,1258,23
alkaliflexus spp.,1259,23
endozoicomonas spp.,1260,9
sulfitobacter delicatus,1261,5
blastomonas natatoria,1262,4
psychroflexus spp.,1263,0
skermanella spp.,1264,6
leeuwenhoekiella marinoflava,1265,2
sphaerobacter thermophilus,1266,2
flavobacterium columnare,1267,1
rhodovulum euryhalinum,1268,0
salinimicrobium spp.,1269,13
porphyrobacter spp.,1270,17
zhouia amylolytica,1271,27
aureispira spp.,1272,3
spirulina spp.,1273,0
hoeflea alexandrii,1274,13
rhodomicrobium spp.,1275,20
pilimelia spp.,1276,3
thiomicrospira spp.,1277,2
flavobacterium denitrificans,1278,41
methylotenera freshwater sediment,1279,18
salinimonas spp.,1280,1
desulfuromonas svalbardensis,1281,17
candidatus_scalindua spp.,1282,1
blastomonas spp.,1283,3
schumannella spp.,1284,7
sediminibacterium spp.,1285,7
tistrella spp.,1286,5
muricauda aquimarina,1287,29
candidatus_amoebophilus spp.,1288,15
rhodovibrio spp.,1289,8
dongia spp.,1290,8
scherffelia dubia,1291,7
rhodanobacter lindaniclasticus,1292,3
rhodovulum marinum,1293,33
sbr1093 (candidate division)  sbr1093 (candidate division),1294,16
albidiferax spp.,1295,30
desulfobacterium indolicum,1296,17
micrococcales spp.,1297,0
nisaea spp.,1298,11
porticoccus spp.,1299,8
loktanella salsilacus,1300,8
lamprocystis spp.,1301,1
op11 (candidate division)  op11 (candidate division),1302,7
acetivibrio spp.,1303,17
thermolithobacter ferrireducens,1304,1
bellilinea spp.,1305,11
aminobacter spp.,1306,12
simiduia spp.,1307,6
algoriphagus hongiella hitoincola,1308,8
sulfitobacter japonica,1309,9
shewanella colwelliana,1310,9
microbulbifer hydrolyticus,1311,7
marinobacter alkaliphilus,1312,18
filomicrobium fusiforme,1313,9
azoarcus spp.,1314,0
bizionia argentinensis,1315,15
achromobacter spp.,1316,23
clostridium spp.,1317,8
gilvibacter spp.,1318,4
lewinella nigricans,1319,9
steroidobacter spp.,1320,2
acidiphilium spp.,1321,10
fibrobacter succinogenes,1322,2
catellibacterium spp.,1323,1
acidobacterium spp.,1324,1
bacteriovorax marinus,1325,0
shewanella benthica,1326,5
hyphomonas jannaschiana,1327,10
erythrobacter piscidermidis,1328,5
neptunomonas spp.,1329,5
marichromatium gracile,1330,0
rhodopirellula baltica,1331,9
olleya spp.,1332,5
psychromonas ingrahamii,1333,29
oceanicaulis spp.,1334,19
candidatus_endobugula spp.,1335,5
syntrophus spp.,1336,22
candidatus_thiobios endosymbiont of_unidentified_scaly_snail,1337,43
cyanospira rippkae,1338,10
bacteriovorax spp.,1339,8
thalassobius spp.,1340,11
balneola alkaliphila,1341,8
salinibacter spp.,1342,1
coraliomargarita spp.,1343,3
malonomas spp.,1344,4
euzebya spp.,1345,5
limnothrix redekei,1346,4
roseibacillus spp.,1347,0
rubrobacter xylanophilus,1348,3
marinovum spp.,1349,6
erythrobacter citreus,1350,16
acinetobacter spp.,1351,39
lysinibacillus bacillus massiliensis,1352,24
methylocaldum spp.,1353,14
lysinibacillus spp.,1354,4
candidatus_brocadia spp.,1355,7
lutibacterium anuloederans,1356,26
shinella spp.,1357,25
thioclava spp.,1358,116
op9 (candidate division)  op9 (candidate division),1359,3
rhodoplanes elegans,1360,5
thiohalocapsa spp.,1361,21
glaciecola spp.,1362,45
gemmatimonas spp.,1363,19
lewinella marina,1364,2
robiginitalea myxolifaciens,1365,1
rubribacterium spp.,1366,14
microbulbifer spp.,1367,16
gammaproteobacteria thiobacillus prosperus,1368,20
iamia spp.,1369,4
limnohabitans spp.,1370,13
dokdonia krokinobacter genikus,1371,4
erythromicrobium ramosum,1372,2
roseicyclus spp.,1373,8
marinomonas sanya,1374,1
tm6 (candidate division)  tm6 (candidate division),1375,7
gilvimarinus marine metagenome,1376,34
gn06 (candidate division)  gn06 (candidate division),1377,17
thiorhodospira spp.,1378,27
fabibacter spp.,1379,4
yeosuana yeosuensis,1380,3
flavobacteriales bacterium,1381,1
nitrobacter spp.,1382,15
cellulophaga spp.,1383,5
thalassococcus spp.,1384,17
candidatus_entotheonella spp.,1385,5
calothrix spp.,1386,10
geopsychrobacter electrodiphilus,1387,2
pseudoalteromonas marina,1388,37
nannocystis spp.,1389,7
desulfurivibrio spp.,1390,29
thermodesulfovibrio spp.,1391,15
paracoccus alcaliphilus,1392,1
ilumatobacter fluminis,1393,8
spam (candidate division)  spam (candidate division),1394,16
owenweeksia hongkongensis,1395,25
coleofasciculus microcoleus chthonoplastes,1396,1
anaerophaga spp.,1397,43
ferruginibacter spp.,1398,18
zeaxanthinibacter enoshimensis,1399,1
subsaxibacter spp.,1400,21
oleiphilus spp.,1401,22
salinisphaera spp.,1402,0
nocardioides spp.,1403,5
desulfonema spp.,1404,1
croceibacter atlanticus,1405,49
paracoccus spp.,1406,48
sphingopyxis witflariensis,1407,1
candidatus_aquiluna spp.,1408,10
haematobacter massiliensis,1409,10
massilia spp.,1410,24
zhouia spp.,1411,31
jannaschia donghaensis,1412,5
meridianimaribacter spp.,1413,6
burkholderia fungorum,1414,16
tamlana crocina,1415,9
kordiimonas spp.,1416,34
sulfitobacter spp.,1417,18
candidatus_cloacamonas spp.,1418,28
reinekea blandensis,1419,24
pelagicoccus spp.,1420,7
tetracoccus cechii,1421,27
bdellovibrio spp.,1422,16
dokdonella spp.,1423,79
tepidamorphus spp.,1424,16
opitutus spp.,1425,12
spirochaeta isovalerica,1426,92
pseudolabrys spp.,1427,4
geoalkalibacter spp.,1428,5
coccinimonas marina,1429,24
sphingopyxis spp.,1430,4
desulfovibrio spp.,1431,10
segetibacter spp.,1432,0
truepera spp.,1433,8
altererythrobacter spp.,1434,18
smithella spp.,1435,12
rhodoplanes spp.,1436,4
polynucleobacter spp.,1437,21
solirubrobacter spp.,1438,15
caloramator spp.,1439,22
nodosilinea leptolyngbya rozosum,1440,3
phaselicystis spp.,1441,17
parvibaculum spp.,1442,15
desulfobacula spp.,1443,32
saccharophagus degradans,1444,14
flaviramulus spp.,1445,6
gemmata spp.,1446,7
prochlorococcus marinus,1447,6
dasania spp.,1448,44
dinoroseobacter spp.,1449,9
ectothiorhodospira shaposhnikovii,1450,12
thalassospira xiamenensis,1451,30
sediminitalea flava,1452,2
lentisphaera spp.,1453,6
costertonia aggregata,1454,1
ekhidna spp.,1455,4
candidatus pelagibacter ubique,1456,13
fibrobacter spp.,1457,11
kangiella koreensis,1458,97
marinosulfonomonas spp.,1459,32
teredinibacter spp.,1460,55
brc1 (candidate division)  brc1 (candidate division),1461,31
arthrobacter spp.,1462,20
levilinea spp.,1463,80
mesorhizobium spp.,1464,48
labrys spp.,1465,12
nkb19 (candidate division)  nkb19 (candidate division),1466,41
nitrosomonas spp.,1467,18
amaricoccus spp.,1468,12
marinoscillum furvescens,1469,14
ulvibacter antarcticus,1470,0
anabaena cylindrica,1471,4
thermomonas spp.,1472,9
galbibacter spp.,1473,49
croceitalea spp.,1474,71
pelobacter spp.,1475,14
thiothrix spp.,1476,49
roseobacter spp.,1477,31
cerasicoccus spp.,1478,22
kribbella spp.,1479,19
muriicola muricola jejuensis,1480,24
ahrensia spp.,1481,25
nitriliruptor spp.,1482,0
ruegeria spp.,1483,13
leptolyngbya frigida,1484,2
muricauda spp.,1485,69
tamlana spp.,1486,42
dehalococcoides mccartyi,1487,14
aquimarina brevivitae,1488,14
melitea spp.,1489,30
dehalococcoides ethenogenes,1490,34
ralstonia pickettii,1491,32
marivita gaetbulicola byunsanensis,1492,57
pelagicoccus albus,1493,45
dermatophilus spp.,1494,22
persicobacter spp.,1495,22
paracoccus marinus,1496,19
maribacter sedimenticola,1497,24
psychroserpens spp.,1498,23
alterococcus spp.,1499,15
synechococcus elongatus,1500,13
salisaeta longa,1501,7
devosia spp.,1502,36
desulfosalsimonas spp.,1503,56
patulibacter spp.,1504,4
formosa spp.,1505,110
tm7 (candidate division)  tm7 (candidate division),1506,13
filomicrobium spp.,1507,65
thiohalomonas denitrificans,1508,0
loktanella hongkongensis,1509,2
geothermobacter spp.,1510,23
lentimonas spp.,1511,37
peredibacter spp.,1512,41
sphingomonas spp.,1513,18
geobacter spp.,1514,51
anaerolinea spp.,1515,65
desulfuromusa spp.,1516,45
leeuwenhoekiella spp.,1517,86
coxiella spp.,1518,27
tg3 (candidate division)  tg3 (candidate division),1519,51
thioalkalispira spp.,1520,76
nitrospina spp.,1521,6
marixanthomonas spp.,1522,0
pedomicrobium spp.,1523,48
polaribacter spp.,1524,22
flavobacterium spp.,1525,50
rubrobacter spp.,1526,24
loktanella spp.,1527,83
tropicimonas spp.,1528,136
rhizobiales spp.,1529,28
pelagibius spp.,1530,48
wenxinia marina,1531,6
desulfofustis spp.,1532,29
thalassospira spp.,1533,36
paludibacter spp.,1534,191
sediminimonas spp.,1535,40
rhodovulum spp.,1536,135
pleurocapsa sp.,1537,13
gn02 (candidate division)  gn02 (candidate division),1538,53
maribacter orientalis,1539,153
salinibacter ruber,1540,7
beggiatoa spp.,1541,86
novosphingobium spp.,1542,26
leisingera spp.,1543,31
et_sho methylococcaceae bacterium,1544,474
fluviicola spp.,1545,60
oceanicola spp.,1546,15
marinoscillum spp.,1547,118
acanthopleuribacter spp.,1548,54
victivallis spp.,1549,65
op8 (candidate division)  op8 (candidate division),1550,80
roseicyclus mahoneyensis,1551,52
aequorivita spp.,1552,223
thiomicrospira chilensis,1553,0
sneathiella spp.,1554,160
anderseniella spp.,1555,46
nitratireductor spp.,1556,120
crocinitomix spp.,1557,68
desulfatirhabdium spp.,1558,92
halochromatium spp.,1559,307
simplicispira spp.,1560,87
candidatus_alysiosphaera spp.,1561,18
nitrospira marina,1562,89
maribacter goseongensis,1563,112
fulvivirga spp.,1564,34
chroococcidiopsis spp.,1565,28
formosa crassostrea,1566,83
maribacter spp.,1567,294
sediminibacter spp.,1568,69
kriegella aquimaris,1569,18
desulforhopalus spp.,1570,103
desulfobacterium spp.,1571,131
cystobacterineae spp.,1572,48
hormoscilla oscillatoria spongeliae,1573,4
loktanella marincola,1574,143
hgci_clade spp.,1575,98
pseudoruegeria spp.,1576,175
meniscus spp.,1577,218
cryomorpha spp.,1578,161
erythrobacter aquimaris,1579,26
thiobacillus spp.,1580,40
mariprofundus ferrooxydans,1581,15
robiginitalea biformata,1582,16
desulfobacterium anilini,1583,203
tropicimonas marine metagenome,1584,14
azospira spp.,1585,57
op3 (candidate division)  op3 (candidate division),1586,97
tenacibaculum spp.,1587,142
aestuariicola spp.,1588,22
marinifilum spp.,1589,244
leptospirillum spp.,1590,44
lutibacter spp.,1591,141
pirellula spp.,1592,113
flexithrix spp.,1593,83
sorangium spp.,1594,83
rhodobium spp.,1595,93
lewinella cohaerens,1596,53
candidatus_microthrix spp.,1597,59
ulvibacter spp.,1598,47
roseovarius spp.,1599,70
zeaxanthinibacter spp.,1600,65
methylosinus spp.,1601,270
gaetbulibacter spp.,1602,73
arcobacter spp.,1603,827
escherichia_shigella spp.,1604,190
caldilinea spp.,1605,59
phycisphaera spp.,1606,109
haliangium spp.,1607,115
desulfopila spp.,1608,701
maritimimonas spp.,1609,236
actibacter spp.,1610,33
crenothrix spp.,1611,95
flexibacter spp.,1612,123
rhodothermus marinus,1613,29
parvularcula spp.,1614,73
kangiella spp.,1615,77
flexithrix dorotheae,1616,248
pseudomonas spp.,1617,73
muricola spp.,1618,4
planktothricoides raciborskii,1619,5
pleurocapsa spp.,1620,42
leptolinea spp.,1621,303
coprothermobacter spp.,1622,186
hymenobacter spp.,1623,379
rhizobium spp.,1624,178
lewinella spp.,1625,141
desulfococcus spp.,1626,622
colwellia spp.,1627,128
pseudospirillum spp.,1628,167
nitrospira spp.,1629,182
rhodobacter spp.,1630,285
planctomyces spp.,1631,106
wenxinia spp.,1632,123
desulfocapsa spp.,1633,599
acidimicrobiales spp.,1634,127
gn04 (candidate division)  gn04 (candidate division),1635,459
sorangiineae spp.,1636,180
winogradskyella spp.,1637,128
cycloclasticus spp.,1638,60
reichenbachiella spp.,1639,362
candidatus_chloracidobacterium spp.,1640,28
nitrosococcus spp.,1641,246
desulfuromonas spp.,1642,440
mitochondria spp.,1643,111
blastopirellula spp.,1644,206
haliea spp.,1645,1215
sulfurovum spp.,1646,127
robiginitalea spp.,1647,676
ksb1 (candidate division)  ksb1 (candidate division),1648,733
leucothrix spp.,1649,484
ws3 (candidate division)  ws3 (candidate division),1650,613
eudoraea spp.,1651,10
longilinea spp.,1652,950
sulfurimonas spp.,1653,2163
acidovorax spp.,1654,494
sufflavibacter spp.,1655,449
desulfobulbus spp.,1656,920
spirochaeta spp.,1657,1161
ignavibacterium spp.,1658,678
granulosicoccus spp.,1659,607
owenweeksia spp.,1660,765
candidatus_thiobios spp.,1661,1039
acidithiobacillus spp.,1662,772
defluviicoccus spp.,1663,628
desulfosarcina spp.,1664,1762
rhodopirellula spp.,1665,781
balneatrix spp.,1666,761
nannocystineae spp.,1667,1609
